Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Channel 1 mean,Nucleus: Channel 1 sum,Nucleus: Channel 1 std dev,Nucleus: Channel 1 max,Nucleus: Channel 1 min,Nucleus: Channel 1 range,Nucleus: Channel 2 mean,Nucleus: Channel 2 sum,Nucleus: Channel 2 std dev,Nucleus: Channel 2 max,Nucleus: Channel 2 min,Nucleus: Channel 2 range,Nucleus: Channel 3 mean,Nucleus: Channel 3 sum,Nucleus: Channel 3 std dev,Nucleus: Channel 3 max,Nucleus: Channel 3 min,Nucleus: Channel 3 range,Nucleus: Channel 4 mean,Nucleus: Channel 4 sum,Nucleus: Channel 4 std dev,Nucleus: Channel 4 max,Nucleus: Channel 4 min,Nucleus: Channel 4 range
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,7aab9764-d702-4b84-88cb-a2e07eba04e3,Detection,,Ctip2+: Cux1-: RORB-,Annotation,Polygon,120,493.61,60.6923,29.1893,0.8951,9.6148,8.4357,0.3467,75.9105,14423,32.5008,195,20,175,27.3,5187,8.7056,44,4,40,11.0263,2095,6.1948,31,1,30,14.1632,2691,2.8913,23,9,14
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,be03c9fd-6139-4248-852d-f3b3cf903500,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,157.27,494.44,67.1489,30.0207,0.9363,10.4468,8.5354,0.5413,104.0474,21954,79.4561,234,13,221,3.9147,826,3.7087,20,0,20,6.8815,1452,3.5497,18,0,18,7.6777,1620,3.9097,23,1,22
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,2a5db0a3-058b-40ab-8680-c7cdb78c31e7,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,47.01,495.1,70.7001,30.0451,0.9842,9.9507,8.9909,0.3944,93.7059,20709,87.9503,232,4,228,4.5747,1011,2.9527,11,0,11,6.7828,1499,3.7825,18,0,18,5.9774,1321,4.2868,23,0,23
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,1d742447-7ae5-4224-8c43-13c87dccc807,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,142.53,500.49,156.2504,55.8288,0.63,22.3481,11.0734,0.892,125.4335,61337,51.3691,230,15,215,3.0859,1509,2.1693,12,0,12,7.3783,3608,3.8648,25,0,25,9.9284,4855,4.428,27,1,26
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,1a698a4e-8b12-435b-9064-dc3d49e5e4ae,Detection,,Ctip2+: Cux1-: RORB-,Annotation,Polygon,96.1,497.6,87.4873,34.9146,0.9019,11.9885,9.6007,0.5615,60.12,16533,33.9761,203,18,185,27.8182,7650,12.2437,56,2,54,8.8436,2432,5.4365,33,1,32,13.4691,3704,5.5908,33,2,31
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,2069c47c-060f-44d7-9467-cc0e6833a07a,Detection,,Ctip2-: Cux1+: RORB-,Annotation,Polygon,66.88,499.29,112.6681,42.2344,0.7937,16.0706,10.6253,0.7735,98.2316,34774,68.9328,224,13,211,3.7684,1334,2.6404,15,0,15,10.5763,3744,5.865,28,0,28,20.613,7297,9.9252,50,1,49
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,b109e2b8-8f23-4bf6-b053-3905e6136401,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,25.59,498.89,70.0544,30.5832,0.9412,10.3348,9.0881,0.4318,60.0724,13276,34.6227,178,11,167,3.7919,838,2.3242,11,0,11,10.8959,2408,4.2075,25,2,23,10.7919,2385,3.5614,20,3,17
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,a9434958-5e43-4d6f-b129-82a14f340ae9,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,76.22,498.28,36.1571,22.7774,0.8758,7.8944,6.1091,0.6394,77.3739,8898,30.2021,182,30,152,3.5826,412,2.1683,9,0,9,14.4522,1662,7.654,43,2,41,13.6348,1568,7.2212,31,1,30
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,ad0a569a-0f87-4489-91ee-467b6b67c05b,Detection,,Ctip2+: Cux1-: RORB-,Annotation,Polygon,219.68,498.76,93.6211,36.8997,0.864,13.6566,8.5227,0.7438,51.2373,15115,28.0076,187,17,170,16.7898,4953,7.7786,34,1,33,9.4271,2781,4.5975,27,1,26,12.6644,3736,4.1419,28,4,24
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,b217c59f-2161-45d4-85b2-c0812a312078,Detection,,Ctip2+: Cux1-: RORB-,Annotation,Polygon,5.888,501.29,93.9439,37.4128,0.8434,12.9943,9.208,0.7157,67.43,19757,32.6811,209,16,193,23.8259,6981,13.7788,47,0,47,11.8498,3472,6.5745,55,0,55,16.6075,4866,5.7967,35,1,34
