,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
3,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,601.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,581.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,569.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,586.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,630.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,708.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,656.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,298.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,539.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,584.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,626.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,625.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,552.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,596.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,686.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,730.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,699.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,284.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,548.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,590.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,621.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,655.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,555.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,560.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,664.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,739.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,639.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,317.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,625.0,10.0,L38102-4_,L38102-4,M,KO,21
