,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
8,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,48.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,111.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,17.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,41.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,39.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,39.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,40.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,33.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,48.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,39.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,57.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,123.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,18.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,37.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,25.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,40.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,36.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,48.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,54.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,64.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,59.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,146.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,16.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,29.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,27.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,35.0,30.0,L38102-4_,L38102-4,M,KO,21
