,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
2,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,405.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,425.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,453.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,340.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,354.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,461.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,537.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,263.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,96.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,424.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,406.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,403.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,470.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,329.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,349.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,412.0,70.0,L38102-3_,L38102-3,M,WT,21
8,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,564.0,80.0,L38102-3_,L38102-3,M,WT,21
9,Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,263.0,90.0,L38102-3_,L38102-3,M,WT,21
0,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,93.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,491.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,524.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,560.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,491.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,365.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,382.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,469.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,550.0,80.0,L38102-4_,L38102-4,M,KO,21
9,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,271.0,90.0,L38102-4_,L38102-4,M,KO,21
0,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,46.0,0.0,L38102-4_,L38102-4,M,KO,21
1,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,349.0,10.0,L38102-4_,L38102-4,M,KO,21
2,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,483.0,20.0,L38102-4_,L38102-4,M,KO,21
3,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,501.0,30.0,L38102-4_,L38102-4,M,KO,21
4,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,467.0,40.0,L38102-4_,L38102-4,M,KO,21
5,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,374.0,50.0,L38102-4_,L38102-4,M,KO,21
6,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,377.0,60.0,L38102-4_,L38102-4,M,KO,21
7,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,393.0,70.0,L38102-4_,L38102-4,M,KO,21
8,Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,488.0,80.0,L38102-4_,L38102-4,M,KO,21
