#Selection name: Selection 5
#Area (µm^2): 1389450.20
Cell ID,Cluster,Transcripts,Area (µm^2)
mkkjcjni-1,Cluster 1,2,131.95
apgajloa-1,Cluster 13,19,171.64
mkjllmcb-1,Cluster 19,0,70.85
mkkkfped-1,Cluster 13,1,60.19
miamghed-1,Cluster 13,4,162.07
miakimdl-1,Cluster 6,1,19.10
mhccjcpd-1,Cluster 19,5,184.33
mhhijbbh-1,Cluster 13,8,75.37
ogopngkj-1,Cluster 2,0,22.13
apfhelce-1,Cluster 13,10,135.15
mkkbehfj-1,Cluster 13,5,206.27
apgbadjd-1,Cluster 22,0,163.92
apgakbec-1,Cluster 1,1,109.64
apgaeknh-1,Cluster 4,0,147.62
mkjmekjh-1,Cluster 8,0,68.64
apfmkdoh-1,Cluster 17,0,217.02
apemfmck-1,Cluster 8,6,94.38
mkmkcmip-1,Cluster 13,23,171.46
apemalhk-1,Cluster 13,9,118.08
mkjpkcoe-1,Cluster 1,3,113.43
apeoidmn-1,Cluster 13,12,136.51
mhcdjnck-1,Cluster 8,2,149.02
ogngnmpo-1,Cluster 6,0,10.34
miaokmon-1,Cluster 2,0,46.01
miaonile-1,Cluster 14,0,92.16
mkjpggkm-1,Cluster 1,4,101.65
mhcdhoip-1,Cluster 19,14,237.03
mhccnpnj-1,Cluster 8,1,104.36
obdamfad-1,Cluster 10,0,52.47
baeblehp-1,Cluster 22,0,166.49
mhoiomam-1,Cluster 2,0,50.26
mhophjhk-1,Cluster 6,0,7.90
oalclihl-1,Cluster 10,0,69.18
mhpedbin-1,Cluster 1,1,71.17
mhojgofl-1,Cluster 3,0,39.24
mhpaekee-1,Cluster 17,0,98.17
baeifeal-1,Cluster 17,1,172.59
apijdidc-1,Cluster 28,0,199.46
mhbfjfhp-1,Cluster 17,1,285.21
mhpafnpf-1,Cluster 2,0,24.29
mhojdlao-1,Cluster 10,1,155.43
mhpcjhbk-1,Cluster 17,0,124.54
mhokdlbp-1,Cluster 21,0,73.20
apjjepnf-1,Cluster 17,0,184.19
mhbejkmn-1,Cluster 22,1,166.58
ogndnlhi-1,Cluster 6,0,30.89
apjjkbef-1,Cluster 10,0,364.82
apikckon-1,Cluster 6,0,36.98
apijfihf-1,Cluster 28,2,230.25
apjdjpdk-1,Cluster 28,0,157.96
apjdeiok-1,Cluster 17,0,154.80
obaeigka-1,Cluster 2,0,8.94
mhghgeoe-1,Cluster 19,1,69.59
mhghbjce-1,Cluster 2,1,21.00
