#Selection name: Selection 1
#Area (µm^2): 4378331.15
Cell ID,Cluster,Transcripts,Area (µm^2)
obomoamd-1,Cluster 10,0,148.84
mhcjildi-1,Cluster 32,0,113.16
bkneailk-1,Cluster 10,0,182.52
bklpkeln-1,Cluster 10,0,223.66
mhcfeeao-1,Cluster 8,0,48.09
mhbpjcbc-1,Cluster 10,0,187.08
bkcpnedc-1,Cluster 5,0,241.90
mhchpaeh-1,Cluster 14,0,85.03
mgfgkdhp-1,Cluster 10,0,87.38
mhcapnal-1,Cluster 10,0,155.38
mgfglblp-1,Cluster 10,0,221.18
mgfgiico-1,Cluster 16,0,24.02
mhcgnnam-1,Cluster 10,0,83.18
mgeoommf-1,Cluster 10,0,104.67
bkmgcgoe-1,Cluster 10,0,218.33
mgpjadhf-1,Cluster 10,0,307.74
mgpjjejl-1,Cluster 8,0,42.22
mhbnhmmb-1,Cluster 10,0,214.90
mhcmmhjm-1,Cluster 10,0,198.46
mhbnkmnn-1,Cluster 3,0,44.70
mhbnhkdf-1,Cluster 33,0,90.49
bklpigod-1,Cluster 10,0,170.87
mhbofcbf-1,Cluster 33,0,82.27
mhcnekcj-1,Cluster 3,0,27.09
mhcgboea-1,Cluster 5,0,187.53
bkmajbpa-1,Cluster 10,0,197.97
bkmbceka-1,Cluster 10,0,240.01
bknfcibb-1,Cluster 10,0,206.77
mhcebgec-1,Cluster 6,0,73.51
bkngohfc-1,Cluster 10,0,216.25
bkdaoopc-1,Cluster 10,0,151.91
bkmapoln-1,Cluster 10,0,226.41
mhbndcdi-1,Cluster 9,0,24.79
mhcnjkdo-1,Cluster 2,0,131.18
mhclmgkf-1,Cluster 33,0,263.08
obpaegai-1,Cluster 8,0,20.09
obpbbinn-1,Cluster 10,0,147.84
bknfjakd-1,Cluster 10,0,247.46
mhcbfoej-1,Cluster 33,0,91.44
mhcidagi-1,Cluster 10,0,103.09
mhclhlgf-1,Cluster 10,0,185.46
mhcjpaje-1,Cluster 10,0,196.52
mhcbgaba-1,Cluster 9,0,44.75
mgpdlhme-1,Cluster 11,0,158.09
mgplkpng-1,Cluster 11,0,112.53
mgfgmmcj-1,Cluster 10,0,146.44
