#Selection name: Selection 1
#Area (µm^2): 2480733.99
Cell ID,Cluster,Transcripts,Area (µm^2)
obofegpg-1,Cluster 12,0,43.17
mofheikj-1,Cluster 21,0,67.06
mofndkcn-1,Cluster 4,0,121.88
aemojdhp-1,Cluster 9,0,125.72
modlcmba-1,Cluster 7,0,53.87
mofhojgi-1,Cluster 9,0,279.88
modokked-1,Cluster 1,0,166.94
modplmgn-1,Cluster 1,0,38.70
mofjebin-1,Cluster 1,0,97.49
aemonkci-1,Cluster 12,0,115.87
moecmlhl-1,Cluster 31,0,80.60
moeclhee-1,Cluster 7,1,47.19
moeaopch-1,Cluster 7,0,56.72
mofkcodo-1,Cluster 9,0,198.91
mofhonem-1,Cluster 9,0,136.28
modlbecm-1,Cluster 7,0,120.52
modkkome-1,Cluster 7,0,45.74
moeebbni-1,Cluster 1,0,88.87
mogacled-1,Cluster 9,0,168.70
moeebmea-1,Cluster 6,0,52.47
mogaoeio-1,Cluster 9,0,139.58
mofididg-1,Cluster 8,0,43.80
afafmdnj-1,Cluster 9,0,159.49
moedfief-1,Cluster 1,0,132.49
moedbcje-1,Cluster 1,0,85.03
mofpcmic-1,Cluster 9,0,127.21
mofofpln-1,Cluster 12,0,168.84
modokmei-1,Cluster 6,0,21.31
aemommlj-1,Cluster 1,0,82.37
aemnlhhf-1,Cluster 9,0,147.48
aemnjfcb-1,Cluster 9,0,187.08
oboeocfl-1,Cluster 12,0,47.82
aemopnhc-1,Cluster 9,0,167.53
modpkdci-1,Cluster 6,0,9.53
mofmlkkb-1,Cluster 9,0,131.90
mofnobbc-1,Cluster 9,0,137.73
moebfpnk-1,Cluster 7,0,53.74
moeehple-1,Cluster 1,0,114.56
mofginem-1,Cluster 7,0,56.22
mofgeock-1,Cluster 7,1,84.40
aomclffb-1,Cluster 9,0,150.91
moffjfco-1,Cluster 7,0,115.42
obofkoaa-1,Cluster 9,0,35.36
mofedjho-1,Cluster 7,0,66.74
mojcpelp-1,Cluster 2,0,58.43
mojgkkai-1,Cluster 1,0,66.20
mojcgdbf-1,Cluster 9,0,147.75
mofdaebn-1,Cluster 1,0,57.89
moipkkcn-1,Cluster 9,2,129.06
mojakndg-1,Cluster 12,0,159.09
moipkfjd-1,Cluster 2,0,84.58
obohbjbd-1,Cluster 9,0,106.70
moimnogb-1,Cluster 8,0,57.17
aomckcbp-1,Cluster 24,0,188.30
aomcipni-1,Cluster 9,0,196.88
obogkghh-1,Cluster 9,0,87.47
moefaahi-1,Cluster 1,0,137.32
moipcadc-1,Cluster 1,0,130.95
mojhaiod-1,Cluster 1,0,90.90
modlpoia-1,Cluster 2,0,51.61
mofckkfp-1,Cluster 7,0,120.16
moiicdbg-1,Cluster 12,0,150.51
moinednn-1,Cluster 6,0,56.58
moihcdee-1,Cluster 8,0,61.64
moikmmjj-1,Cluster 9,0,193.63
moipaajh-1,Cluster 9,0,134.79
moimkgoo-1,Cluster 12,0,170.46
mojfdiff-1,Cluster 1,0,74.51
moignfde-1,Cluster 9,0,228.17
moilpjlc-1,Cluster 9,0,117.86
modnaimg-1,Cluster 2,0,17.61
aembpkad-1,Cluster 1,0,95.64
aemfmpag-1,Cluster 9,0,164.05
aemflped-1,Cluster 9,0,172.36
aemfmpjo-1,Cluster 9,0,159.45
moiobhnl-1,Cluster 9,0,115.06
aemcciic-1,Cluster 9,0,202.98
obodhklh-1,Cluster 7,0,17.84
ohaldfpd-1,Cluster 1,0,28.99
mojibhfp-1,Cluster 2,0,71.39
aombcnnn-1,Cluster 7,1,74.55
moijmdkh-1,Cluster 8,0,40.28
aemcngmo-1,Cluster 24,0,118.81
aembjgjd-1,Cluster 9,0,165.32
modmfkfl-1,Cluster 1,0,63.94
modmkgig-1,Cluster 6,0,58.39
aenhkoha-1,Cluster 13,1,144.14
mogkilpa-1,Cluster 24,0,92.48
aemmafek-1,Cluster 9,0,174.94
moghenci-1,Cluster 9,0,186.68
mohocgao-1,Cluster 9,1,133.98
mohoelgm-1,Cluster 6,0,55.18
mnncgmfc-1,Cluster 2,0,64.39
moiafhln-1,Cluster 24,0,122.33
afadndoc-1,Cluster 9,1,196.93
mnnabbea-1,Cluster 9,0,124.72
mnngdafn-1,Cluster 9,0,157.37
moglkgjj-1,Cluster 9,0,128.29
mnnbafpm-1,Cluster 13,1,141.66
