names,scores,logfoldchanges,pvals,pvals_adj
Gria3,0.056349732,-0.084972344,0.9550632020750366,1.0
F13a1,0.0562995,0.42304334,0.9551032175136908,1.0
0610012G03Rik,0.056279406,0.28784335,0.955119223720844,1.0
Sult2b1,0.056279406,0.35188052,0.955119223720844,1.0
Gm31938,0.05621913,0.25821725,0.9551672424508769,1.0
Gc,0.05621913,0.3193964,0.9551672424508769,1.0
Bean1,0.056199037,0.30386806,0.9551832487303908,1.0
Poteg,0.056178942,0.18474941,0.9551992550279789,1.0
Ets2,0.056178942,0.2608214,0.9551992550279789,1.0
4933417D19Rik,0.056178942,0.28302297,0.9551992550279789,1.0
Itgad,0.05615885,0.27239448,0.9552152613436345,1.0
Sf3b4,0.05615885,0.2615706,0.9552152613436345,1.0
Zfp358,0.056138758,0.2484187,0.9552312676773513,1.0
Marveld2,0.056078482,0.17017621,0.9552792867868045,1.0
Tbr1,0.05605839,0.27449006,0.9552952931927017,1.0
Bc1,0.056038294,0.09704433,0.9553112996166278,1.0
Mcm3,0.056018203,0.14777501,0.9553273060585764,1.0
AB124611,0.056018203,0.16128533,0.9553273060585764,1.0
1810062G17Rik,0.056018203,0.029768152,0.9553273060585764,1.0
1700126H18Rik,0.05599811,0.21093285,0.9553433125185412,1.0
A530058N18Rik,0.05599811,0.07296658,0.9553433125185412,1.0
Upk1a,0.05597802,0.051430665,0.9553593189965156,1.0
Gm17249,0.055957925,0.15347405,0.9553753254924932,1.0
Gm11630,0.055957925,0.13133644,0.9553753254924932,1.0
Acnat1,0.055957925,0.08616975,0.9553753254924932,1.0
C7,0.055937834,0.05481535,0.9553913320064675,1.0
Clnk,0.05591774,0.0832198,0.9554073385384323,1.0
Apoh,0.055897646,0.018121015,0.9554233450883809,1.0
Pam16l,0.055877555,0.08584336,0.9554393516563069,1.0
Gins4,0.055877555,0.015144351,0.9554393516563069,1.0
Otoa,0.05585746,0.023767581,0.955455358242204,1.0
Gm37768,0.05585746,0.00031081756,0.955455358242204,1.0
1700008J07Rik,0.05585746,0.030278854,0.955455358242204,1.0
Tusc2,0.055817276,-0.113952324,0.9554873714678852,1.0
Svep1,0.05578714,0.06662131,0.9555113814342722,1.0
Tor2a,0.05572686,-0.18486953,0.9555594014881329,1.0
Sgms2,0.055445563,-0.13237117,0.9557834972028049,1.0
Gm48742,0.055425473,0.070950665,0.9557995041735202,1.0
Podxl,0.05540538,0.032742962,0.9558155111620616,1.0
Gm27253,0.0553451,0.051515978,0.9558635322345779,1.0
Pdcd5,0.055274777,-0.06680781,0.9559195570216461,1.0
Vim,0.05520445,-0.07324506,0.9559755820264916,1.0
Ly86,0.05512408,-0.021014456,0.9560396108697695,1.0
Gm11077,0.055103987,-0.0026974564,0.9560556181249286,1.0
C730002L08Rik,0.055023618,-0.11712982,0.9561196473227304,1.0
Tmem97,0.055023618,-0.08799046,0.9561196473227304,1.0
Zbtb46,0.055023618,-0.29497826,0.9561196473227304,1.0
Gm15513,0.05496334,-0.10658042,0.9561676694069249,1.0
Gm32442,0.05496334,-0.035397656,0.9561676694069249,1.0
Bcas3,0.054893017,0.13740198,0.956223695372892,1.0
Septin3,0.05488297,-0.18712763,0.9562316990999776,1.0
Ar,0.05474232,-0.20350362,0.9563437517421779,1.0
Gm6787,0.054702137,-0.18921365,0.9563757669413662,1.0
Sema6c,0.05469209,0.06528842,0.9563837707521616,1.0
Cfap20dc,0.054661952,0.011504025,0.9564077822109309,1.0
Adam19,0.054591626,-0.14729543,0.9564638091018575,1.0
Pbld2,0.054541394,-0.15896344,0.9565038284413684,1.0
Naglu,0.05422996,-0.08962542,0.9567519507896289,1.0
Gm49574,0.054199822,-0.09599551,0.956775962852561,1.0
Alg11,0.05409936,0.028922325,0.9568560033454988,1.0
Gm19585,0.053888384,-0.17153968,0.9570240897956978,1.0
Rps27a,0.053777877,-0.03397319,0.9571121358422664,1.0
Gm5105,0.05374774,-0.11138428,0.9571361484912795,1.0
Gfus,0.053325795,-0.19803287,0.957472329651867,1.0
Pgm2l1,0.053295653,-0.18505141,0.9574963428820679,1.0
Rps16,0.05303445,-0.0726455,0.9577044591572114,1.0
Gucy2e,0.05265269,-0.19366238,0.958008634279902,1.0
Zfp72,0.05254218,-0.06362238,0.9580966861163837,1.0
Mmp15,0.052512042,-0.203914,0.9581207003423832,1.0
Rrp7a,0.052260883,-0.07817375,0.9583208203683334,1.0
Fkbp4,0.052130282,-0.24519715,0.9584248838207101,1.0
Prr22,0.051969543,0.76371187,0.9585529628883707,1.0
Tmem120a,0.0519394,-0.15096524,0.9585769778327697,1.0
Derl3,0.051929355,20.435701,0.9585849828225912,1.0
Gm36913,0.051929355,20.483738,0.9585849828225912,1.0
Gm45064,0.051929355,20.924154,0.9585849828225912,1.0
C630031E19Rik,0.051929355,20.717772,0.9585849828225912,1.0
Gm50237,0.051929355,20.883448,0.9585849828225912,1.0
Gpsm3,0.051929355,20.587133,0.9585849828225912,1.0
Fgf23,0.051929355,21.045994,0.9585849828225912,1.0
Gm34776,0.051929355,20.642015,0.9585849828225912,1.0
Clec2e,0.051929355,20.590721,0.9585849828225912,1.0
Prl3d1,0.051929355,20.63289,0.9585849828225912,1.0
4930573H18Rik,0.051929355,20.544487,0.9585849828225912,1.0
Gm44827,0.051929355,21.11296,0.9585849828225912,1.0
Gm49403,0.051929355,20.731205,0.9585849828225912,1.0
Trp53tg5,0.051929355,20.610418,0.9585849828225912,1.0
Rln1,0.051929355,20.24189,0.9585849828225912,1.0
Gm49019,0.051929355,20.830994,0.9585849828225912,1.0
Gm38947,0.051929355,20.286995,0.9585849828225912,1.0
Adra1d,0.051929355,20.659962,0.9585849828225912,1.0
Vmn1r197,0.051929355,20.682417,0.9585849828225912,1.0
Cyp11b2,0.051929355,20.74661,0.9585849828225912,1.0
1700122O11Rik,0.051929355,20.870485,0.9585849828225912,1.0
4930527B05Rik,0.051929355,20.690577,0.9585849828225912,1.0
Gm48447,0.051929355,20.67099,0.9585849828225912,1.0
Gm4489,0.051929355,20.089027,0.9585849828225912,1.0
Olfr150,0.051929355,20.466883,0.9585849828225912,1.0
Gm50210,0.051929355,20.838503,0.9585849828225912,1.0
Vmn2r114,0.051929355,20.750198,0.9585849828225912,1.0
Gm9885,0.051929355,20.504168,0.9585849828225912,1.0
Gm14929,0.051929355,20.249447,0.9585849828225912,1.0
Gm43301,0.051929355,20.012064,0.9585849828225912,1.0
Plxna4os1,0.051929355,21.025707,0.9585849828225912,1.0
Gm15998,0.051929355,20.988008,0.9585849828225912,1.0
Ms4a6b,0.051929355,20.86407,0.9585849828225912,1.0
Gm14744,0.051929355,20.709969,0.9585849828225912,1.0
5033426O07Rik,0.051929355,20.657223,0.9585849828225912,1.0
Fasl,0.051929355,20.48095,0.9585849828225912,1.0
Gm26789,0.051929355,20.465738,0.9585849828225912,1.0
Gm49460,0.051929355,20.971245,0.9585849828225912,1.0
A730043L09Rik,0.051929355,20.871502,0.9585849828225912,1.0
Clec2h,0.051929355,20.8464,0.9585849828225912,1.0
Gm47510,0.051929355,20.476318,0.9585849828225912,1.0
Ccl2,0.051929355,20.727245,0.9585849828225912,1.0
Arsi,0.051929355,20.252672,0.9585849828225912,1.0
Gm47015,0.051929355,20.512495,0.9585849828225912,1.0
Vmn2r108,0.051929355,20.858032,0.9585849828225912,1.0
Gm48905,0.051929355,20.28719,0.9585849828225912,1.0
Gm27028,0.051929355,20.512257,0.9585849828225912,1.0
