names,scores,logfoldchanges,pvals,pvals_adj
Ccdc57,-1.1412762,-0.21783632,0.2537549962767489,1.0
Abcd3,-1.1432195,-0.19289212,0.25294749303387754,1.0
Knop1,-1.1443766,-0.19257382,0.2524674716482461,1.0
Fmn2,-1.1443985,-0.053629886,0.2524584207476769,1.0
Taok3,-1.1452281,-0.13692266,0.25211465409088707,1.0
Zcchc14,-1.1467783,-0.22445747,0.25147322806477046,1.0
Psip1,-1.1473169,-0.23816694,0.25125065190328655,1.0
Sycp2,-1.1487507,-0.34390137,0.2506587882261905,1.0
Ikbke,-1.1487871,-0.3613171,0.25064377898146617,1.0
Slc8a1,-1.1496023,-0.16242495,0.250307736326688,1.0
Mccc2,-1.1500899,-0.22450726,0.2501068612776187,1.0
Ppm1h,-1.1514436,-0.22224014,0.2495497984129551,1.0
Zadh2,-1.1516911,-0.2670496,0.24944806352179894,1.0
Efna5,-1.1520767,-0.2049753,0.24928953459410275,1.0
Sik2,-1.1527754,-0.11809834,0.24900256718330882,1.0
Fam117b,-1.1539618,-0.25480208,0.24851584958498574,1.0
Brwd1,-1.1547915,-0.101420306,0.248175841564527,1.0
Anxa2,-1.1554974,-1.6612724,0.24788679289604076,1.0
Wdr17,-1.155643,-0.21601649,0.24782722454217365,1.0
Ccdc148,-1.1560287,-0.41262805,0.24766941685990285,1.0
Gclm,-1.1562761,-0.37888494,0.24756821878626245,1.0
Inhba,-1.1611961,-1.1879492,0.2455621702887405,1.0
Khdrbs2,-1.1621203,-0.2559253,0.2451865699706015,1.0
Enox2,-1.163081,-0.13772757,0.24479660959816552,1.0
Mipol1,-1.1675352,-0.24502067,0.24299429958374075,1.0
Ube2d3,-1.1680883,-0.22297077,0.24277113610396717,1.0
Rars2,-1.1685541,-0.21138503,0.24258332076221623,1.0
Igsf21,-1.1689909,-0.19841342,0.24240733669844738,1.0
Gpr19,-1.1692091,-0.29103854,0.24231937834698236,1.0
Kif5a,-1.1702207,-0.6246844,0.24191213096620645,1.0
Cr1l,-1.171378,-0.22130309,0.2414468776426395,1.0
Mtx1,-1.1714872,-0.36147395,0.24140301835574252,1.0
Snhg20,-1.1720549,-0.17206569,0.24117504047419303,1.0
Cldn34c1,-1.1724405,-0.33866075,0.2410202189508749,1.0
Gkap1,-1.173445,-0.16663302,0.2406174271658189,1.0
Itih5,-1.1736124,-0.27434382,0.24055034133153297,1.0
Atp2b1,-1.1739471,-0.08615152,0.24041620919649132,1.0
Ewsr1,-1.1759267,-0.15515615,0.2396241571074259,1.0
Qrich1,-1.1763707,-0.12445728,0.23944678064292513,1.0
Erc1,-1.1772295,-0.09619464,0.23910392179894002,1.0
Nek7,-1.1777171,-0.12633206,0.23890940192241006,1.0
Rtkn,-1.1789834,-0.5782175,0.2384047524740074,1.0
Amph,-1.1799732,-0.19460842,0.23801083805168688,1.0
Gpr156,-1.1800534,-0.2665698,0.23797899742731266,1.0
Add3,-1.1807666,-0.03147478,0.23769545917208934,1.0
Hs3st4,-1.1811378,-0.2608115,0.23754799798191584,1.0
1700025G04Rik,-1.181247,-0.22668207,0.23750463934468202,1.0
Kank2,-1.1820111,-0.34221056,0.23720128542115682,1.0
Tecpr1,-1.1823386,-0.20167333,0.23707136044469657,1.0
Cbx5,-1.1827171,-0.12347911,0.23692128756214836,1.0
Rnf144a,-1.1838161,-0.14501648,0.2364858796282978,1.0
Kirrel,-1.1838888,-0.3264594,0.236457064654228,1.0
Tsc22d4,-1.1863997,-0.18920343,0.23546446796374843,1.0
Psmd1,-1.1868365,-0.15976696,0.2352921439117256,1.0
Zfp326,-1.1870911,-0.15111625,0.23519166278201786,1.0
Pot1b,-1.1874623,-0.17571384,0.23504530180659067,1.0
Ppp1cb,-1.1885686,-0.22222574,0.23460947123164821,1.0
Pik3cb,-1.1894056,-0.3825916,0.2342801115486084,1.0
D030055H07Rik,-1.1898131,-0.20253555,0.23411984635457717,1.0
Ptbp3,-1.1899369,-0.4378671,0.2340712097948653,1.0
Zfp397,-1.1911013,-0.6746143,0.23361380471313065,1.0
Rlbp1,-1.1913561,-0.8833639,0.23351383187139774,1.0
Ergic3,-1.1922659,-0.30715263,0.23315703361781304,1.0
Tbc1d14,-1.1931537,-0.4357728,0.23280917150583058,1.0
Tmem82,-1.1955191,-0.49089175,0.23188428690581675,1.0
Trim12a,-1.1955918,-0.7264764,0.23185587034593935,1.0
Pak3,-1.196458,-0.39078513,0.23151790304678088,1.0
Lcor,-1.1968364,-0.09562649,0.23137032975947014,1.0
Chsy3,-1.1968874,-0.16113448,0.23135046922839098,1.0
