,KO_n,KO_s,KO_l,KO_p
378,Itgb5,6.0141115,0.3876737,1.4148275077343292e-07
379,Hlf,6.0076294,0.35688844,1.4689872476858693e-07
380,Nr2f1,5.999937,0.34726414,1.536573209926913e-07
381,Cdip1,5.9939785,0.40821895,1.5901379133829043e-07
382,Znrf3,5.99233,0.35368717,1.600060735754725e-07
383,Csdc2,5.9921856,0.34837842,1.600060735754725e-07
384,Coro2b,5.982474,0.34576744,1.6917353245096283e-07
385,Tom1l2,5.9823422,0.35152137,1.6917353245096283e-07
386,Zfp609,5.9807405,0.347282,1.7043899840864554e-07
387,Ube2k,5.9800982,0.33930516,1.7070597368927846e-07
388,Ltbp1,5.970012,0.36948577,1.811704248779262e-07
389,Tecpr1,5.9644303,0.44341272,1.8703011490657552e-07
390,Rfx4,5.9640355,0.34159836,1.8704049133374829e-07
391,Otud7b,5.9606643,0.41292682,1.9049163889293066e-07
392,Prrc2b,5.954249,0.43012187,1.976504009772508e-07
393,Lonp2,5.9469595,0.40703666,2.06169180142817e-07
394,Fam171b,5.945489,0.34109885,2.0754240344547874e-07
395,Gbf1,5.944566,0.34189442,2.0822922885687538e-07
396,Tspan9,5.9435854,0.34246916,2.089916635293485e-07
397,Pard3,5.9403377,0.34808433,2.1267981143789062e-07
398,Srgap3,5.9394865,0.3588457,2.1329212665724802e-07
399,Rab10,5.938295,0.3397922,2.143518358504008e-07
400,Entpd1,5.935153,0.46935707,2.179938580432327e-07
401,Eif2s3y,5.931779,0.5405994,2.2201057011847256e-07
402,Ubr3,5.923398,0.34434378,2.3309582877761436e-07
403,Mib1,5.9148602,0.35105357,2.449531652198134e-07
404,Rsf1,5.9120173,0.33407187,2.4865027812422204e-07
405,Scmh1,5.9073715,0.3503699,2.5517968047741973e-07
406,Usp2,5.9034433,0.35649487,2.607401029913069e-07
407,Clasp1,5.8966565,0.33932322,2.7107289187348294e-07
408,Atxn7,5.8710213,0.33763346,3.1579424324312496e-07
409,Sirpa,5.866265,0.34692484,3.242500247355994e-07
410,Csnk2a1,5.8645496,0.40185484,3.268819014730021e-07
411,Cry2,5.862086,0.412964,3.310242773790769e-07
412,Sema6d,5.8510017,0.2891805,3.530668011386246e-07
413,Mapk4,5.8461447,0.3123234,3.6271346108731047e-07
414,Lrch3,5.8451157,0.33741894,3.6414858334471963e-07
415,Eci2,5.8444653,0.37190047,3.6434347556147887e-07
416,Zfp532,5.844285,0.33536106,3.6434347556147887e-07
417,St6galnac5,5.8432374,0.30035543,3.647281257403987e-07
