"Animal_ID","Bin","Area","Mean","IntDen","RawIntDen","source_file","Image","Genotype","Sex","Age"
"L57343-3M",6,4076.714,9.019,36768.872,113895,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",9,1855.957,11.081,20565.646,63704,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",10,819.992,10.28,8429.126,26110,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",11,28307.464,9.428,266887.551,826709,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S5L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",4,3190.489,9.728,31035.756,96449,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",5,3402.867,9.962,33898.669,105346,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",6,2443.307,11.041,26976.128,83833,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",7,2600.659,9.048,23531.107,73127,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",8,2337.44,10.572,24711.733,76796,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",9,900.03,9.325,8393.095,26083,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
