"Animal_ID","Bin","Area","Mean","IntDen","RawIntDen","source_file","Image","Genotype","Sex","Age"
"L57343-6M",2,819.262,4.02,3293.137,10234,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",3,2383.132,3.331,7937.444,24667,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",4,4886.289,3.309,16168.034,50245,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",5,3594.005,3.435,12344.275,38362,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",6,3259.028,3.536,11522.439,35808,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",7,3227.493,3.468,11193.898,34787,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",8,2999.992,3.684,11051.026,34343,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",9,1353.745,4.082,5525.674,17172,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",10,1309.661,4.786,6267.707,19478,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",11,25054.74,3.608,90385.245,280888,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S6R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
